,Game,Release date,Company,Genres,Mean Note,Number of Vote,store
367,"Warhammer 40,000: Regicide",2015-09-08,,"Indie, Puzzle, Strategy, Tactical, Turn-based strategy (TBS)",3.7,59,apple
378,Cut The Rope 2,2013-12-19,,"Arcade, Puzzle",4.7,3700,apple
385,Picture Cross,2015-05-14,,Puzzle,4.4,32200,apple
387,MEGA MAN MOBILE,2016-10-01,,Adventure,3.2,106,apple
394,Defend The Tower: Castle Defence Element,2018-08-01,,Strategy,5.0,1,apple
396,Detective Conan Runner: Race for the Truth,2019-06-07,,Arcade,4.8,24,apple
398,Blackbox - think outside the box,2017-06-07,,Puzzle,4.8,31800,apple
404,Rig's Dream 3D,2017-03-23,,"Adventure, Indie, Role-playing (RPG)",5.0,1,apple
408,The Room Two,2013-12-12,,"Adventure, Indie, Puzzle",4.9,3000,apple
420,Nimian Legends: BrightRidge,2016-03-26,,"Adventure, Role-playing (RPG)",4.6,93,apple
426,Immortal Rogue,2019-02-20,,"Hack and slash/Beat 'em up, Indie",4.2,146,apple
428,World Conqueror 4,2017-08-24,,"Simulator, Strategy",4.4,3500,apple
432,The Inner World,2013-07-18,,"Adventure, Indie, Point-and-click",4.5,73,apple
443,Oily Man,2017-04-01,,"Arcade, Indie, Platform",5.0,1,apple
455,Causality,2017-02-02,,"Adventure, Indie, Puzzle",4.4,162,apple
456,Lineage 2: Revolution,2017-11-15,Netmarble,Adventure,4.5,28000,apple
463,One Piece: Treasure Cruise,2014-05-12,Bandai Namco,"Adventure, Fighting, Role-playing (RPG)",4.7,5000,apple
469,Osmos,2009-08-18,,"Arcade, Indie, Puzzle, Simulator, Strategy",4.7,369,apple
483,Boost Arena,2018-06-28,,"Arcade, Racing",3.9,18,apple
486,Pocket Knights 2,2018-03-09,,Role-playing (RPG),4.0,39,apple
501,Fairune,2013-03-28,,"Adventure, Indie, Puzzle, Role-playing (RPG)",4.6,157,apple
504,SimplePlanes,2014-12-10,,"Indie, Simulator",4.7,1500,apple
520,Nihilumbra,2012-06-27,,"Adventure, Indie, Platform, Puzzle",4.6,72,apple
521,Lego Marvel Super Heroes,2013-09-30,Warner Bros,"Adventure, Hack and slash/Beat 'em up, Puzzle",3.3,2600,apple
539,Assassin's Creed: Rebellion,2018-11-21,Ubisoft,Simulator,4.8,67400,apple
540,Zero/Sum,2018-05-16,,"Indie, Puzzle",4.2,25,apple
542,Bushido Bear,2016-02-26,,"Arcade, Indie",4.7,793,apple
565,Cotrio,2019-01-22,,"Indie, Strategy",5.0,9,apple
566,Tales of Wind,2019-04-30,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.0,641,apple
568,Heart Maze,2017-06-27,,"Adventure, Indie, Platform, Puzzle",5.0,10,apple
579,ARise,2017-09-01,,Puzzle,3.1,37,apple
586,INSIDE,2016-06-29,,"Adventure, Indie, Platform, Puzzle",4.3,19000,apple
587,Jewels Palace,2019-01-29,,Unknow,4.5,33,apple
593,Cytus II,2018-01-17,,"Arcade, Music",4.8,6200,apple
597,The Simpsons: Tapped Out,2012-02-29,ELECTRONIC ARTS,"Adventure, Simulator",4.7,103200,apple
603,Door Kickers,2014-10-20,,"Indie, Real Time Strategy (RTS), Simulator, Strategy, Tactical",4.9,474,apple
614,Guildmaster Story,2018-11-05,,"Indie, Puzzle",4.9,44,apple
615,Elvenar,2015-04-08,,Simulator,4.6,16100,apple
622,Azkend 2: The World Beneath,2012-03-06,,"Adventure, Indie, Puzzle",4.7,7,apple
624,Hyperburner,2016-06-22,,"Arcade, Indie",4.5,785,apple
626,Last Hope - Tower Defense,2015-01-01,,"Adventure, Indie, Strategy",4.7,392,apple
639,Warlords of Aternum,2015-10-27,,Turn-based strategy (TBS),4.7,12500,apple
659,Hitman: Sniper,2015-06-02,Square Enix,"Shooter, Strategy",4.7,3400,apple
667,Power Hover: Cruise,2017-08-10,,Unknow,4.6,2400,apple
670,The Bonfire: Forsaken Lands,2018-03-07,,"Indie, Role-playing (RPG), Simulator, Strategy",4.0,385,apple
673,One Piece: Thousand Storm,2016-04-21,Bandai Namco,"Adventure, Role-playing (RPG)",4.6,103500,apple
693,SteamWorld Heist,2015-12-10,,"Adventure, Indie, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.6,584,apple
697,Total Party Kill,2019-07-03,,"Indie, Platform, Puzzle",4.3,843,apple
704,Cat Quest,2017-08-08,,"Adventure, Indie, Role-playing (RPG)",4.8,1600,apple
709,Tap Hero,2016-02-01,,"Arcade, Indie",4.5,42,apple
711,Sushi Go!,2016-09-07,,"Indie, Strategy",3.5,85,apple
713,Symmetry: Path to Perfection,2016-11-13,,"Indie, Puzzle",4.7,706,apple
714,The Revenge of Shinobi,1989-12-02,Sega,"Hack and slash/Beat 'em up, Platform",4.5,313,apple
720,Geometry Dash SubZero,2017-12-21,,"Arcade, Music",4.5,22300,apple
723,Impossible Road,2013-04-09,,"Arcade, Racing",4.1,713,apple
742,Bitcoin Billionaire,2014-10-31,,Simulator,4.8,15800,apple
747,The Witness,2016-01-26,,"Adventure, Indie, Puzzle",3.9,418,apple
749,RollerCoaster Tycoon Classic,2016-12-20,,"Simulator, Strategy",4.4,1900,apple
751,Grimvalor,2018-10-10,,"Hack and slash/Beat 'em up, Platform",4.9,6500,apple
756,Assassin's Creed Identity,2014-09-30,Ubisoft,"Adventure, Role-playing (RPG)",4.0,3500,apple
770,Escape Lala,2018-07-08,,"Adventure, Indie, Point-and-click",4.6,50,apple
772,Agent A: A Puzzle In Disguise,2015-10-28,,"Adventure, Indie, Puzzle",4.8,7600,apple
775,Sentinels of the Multiverse: The Video Game,2014-10-15,,"Indie, Strategy, Turn-based strategy (TBS)",4.4,131,apple
787,twofold inc.,2016-01-28,,"Indie, Puzzle",4.3,843,apple
806,Super Senso,2016-11-07,,"Strategy, Turn-based strategy (TBS)",3.9,191,apple
811,The Wolf Among Us,2013-10-11,,"Adventure, Point-and-click",4.2,1100,apple
830,Lara Croft GO,2015-08-27,Square Enix,"Adventure, Puzzle, Turn-based strategy (TBS)",4.8,3400,apple
832,Frozen Free Fall,2013-11-21,,Puzzle,4.7,59800,apple
834,Cytus,2012-01-12,,"Arcade, Music",4.9,1200,apple
835,Monument Valley 2,2017-05-30,,"Adventure, Indie, Puzzle",4.4,5200,apple
850,Chef Wars,2017-11-06,,Role-playing (RPG),4.3,52,apple
853,Tracky Train,2016-06-29,,Unknow,4.6,1100,apple
864,Cyber Hunter,2018-05-17,NetEase,"Adventure, Fighting",4.5,8300,apple
900,The Talos Principle,2014-12-11,,"Adventure, Indie, Puzzle",4.6,180,apple
905,Final Blade,2017-02-07,,Role-playing (RPG),3.5,251,apple
908,Flip the Gun - Simulator Game,2018-03-21,,Arcade,4.3,26500,apple
938,Crypt of the NecroDancer,2014-07-30,,"Adventure, Indie, Music, Role-playing (RPG)",3.9,37,apple
941,The Banner Saga,2014-01-14,,"Indie, Role-playing (RPG), Strategy, Tactical",4.8,1500,apple
951,The Walking Dead: Road to Survival,2015-08-26,,"Adventure, Role-playing (RPG), Strategy",4.3,12700,apple
952,Boxing Star,2017-12-27,,Fighting,4.6,71000,apple
954,Up Left Out,2018-06-27,,"Indie, Puzzle",4.8,1100,apple
956,Bulb Out,2017-05-16,,Arcade,5.0,1,apple
962,Lichtspeer,2016-09-27,,"Adventure, Arcade, Indie, Sport",4.7,490,apple
981,JUMPGRID,2019-02-12,,Indie,4.7,11,apple
983,Spaceplan,2016-08-31,,"Adventure, Indie, Simulator",4.1,621,apple
1006,Magic Mansion,2016-08-24,,"Indie, Platform",3.3,177,apple
1008,Terra Battle 2,2017-09-21,,"Role-playing (RPG), Turn-based strategy (TBS)",4.8,17,apple
1010,Open Bar,2016-01-28,,Puzzle,4.8,694,apple
1022,Tomb of the Mask,2016-12-06,,Arcade,4.6,863900,apple
1024,Chameleon Run,2016-04-06,,"Arcade, Platform, Racing",4.7,16000,apple
1031,Guild of Dungeoneering,2015-07-15,,"Indie, Quiz/Trivia, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.7,919,apple
1045,EvoCreo,2015-07-08,,"Adventure, Role-playing (RPG)",3.7,30,apple
1058,Dungeon Construction Co,2018-01-01,,"Adventure, Indie, Platform, Puzzle",4.0,5,apple
1059,Banshee's Last Cry,1994-11-25,,Visual Novel,4.3,68,apple
1060,Mordheim: Warband Skirmish,2017-05-26,,Turn-based strategy (TBS),4.0,383,apple
1062,Knight Brawl,2019-06-12,,Indie,4.5,59,apple
1064,Reigns: Game of Thrones,2018-10-18,,"Adventure, Indie, Role-playing (RPG), Strategy, Tactical",4.8,8400,apple
1083,Find the Line,2015-07-09,,Puzzle,4.7,246,apple
1085,Evoland 2,2015-08-25,,"Adventure, Fighting, Hack and slash/Beat 'em up, Indie, Music, Platform, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.6,2200,apple
1090,Heroes Evolved,2017-01-23,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy, Tactical",4.1,1100,apple
1092,Samorost 3,2016-03-14,,"Adventure, Indie, Point-and-click, Puzzle",4.4,426,apple
1093,Hearthstone,2014-03-11,,"Strategy, Turn-based strategy (TBS)",3.6,33200,apple
1096,Hidden Objects: Coastal Hill Mystery,2017-09-14,,"Adventure, Indie, Point-and-click, Puzzle",4.7,856,apple
1108,Bendy in Nightmare Run,2018-08-15,,Unknow,4.5,6600,apple
1110,LifeAfter,2018-11-08,NetEase,"Role-playing (RPG), Shooter",4.1,9400,apple
1111,Frederic: Resurrection of Music,2012-01-17,,"Indie, Music",4.2,5,apple
1113,Real Pool 3D,2012-03-31,,"Indie, Sport",4.6,17300,apple
1118,PAKO - Car Chase Simulator,2014-08-14,,"Arcade, Indie, Racing",4.2,402,apple
1119,"Warhammer 40,000: Space Wolf",2014-10-28,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.2,638,apple
1124,Sonic the Hedgehog 4: Episode II,2012-05-15,Sega,"Adventure, Arcade, Platform",4.1,2100,apple
1126,Life is Strange,2015-01-30,Square Enix,"Adventure, Role-playing (RPG)",4.0,5700,apple
1127,Major Mayhem 2,2018-04-22,,Arcade,4.7,5600,apple
1135,Purrfect Date,2017-12-15,,"Adventure, Indie, Role-playing (RPG), Simulator",4.3,26,apple
1146,Scribblenauts Unlimited,2012-11-13,Warner Bros,"Adventure, Platform, Puzzle, Sport, Strategy",4.3,1800,apple
1148,Super Phantom Cat,2016-02-19,,"Adventure, Indie, Platform, Role-playing (RPG)",4.8,471,apple
1155,Storm Arena,2019-01-24,NetEase,Tactical,4.4,48,apple
1156,Apollo Justice: Ace Attorney,2007-04-12,,"Adventure, Visual Novel",4.1,126,apple
1160,Warhammer: Snotling Fling,2015-03-03,,Unknow,1.0,1,apple
1166,RollerCoaster Tycoon 3,2004-10-26,,"Real Time Strategy (RTS), Simulator, Strategy",3.9,1300,apple
1179,IMVU,2004-01-01,,Unknow,4.2,70600,apple
1186,Iron Marines,2017-09-14,,"Indie, Real Time Strategy (RTS), Strategy",4.8,22300,apple
1194,Transistor,2014-05-20,,"Indie, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.4,606,apple
1195,Chrono Ma:Gia,2018-04-09,,Strategy,3.8,37,apple
1199,Fez,2012-04-13,,"Adventure, Indie, Platform, Puzzle",4.2,437,apple
1203,Race The Sun,2013-08-19,,"Arcade, Indie, Platform, Racing",4.5,206,apple
1218,Warzone,2017-11-13,,Strategy,4.8,837,apple
1230,Powerless,2018-08-23,,Unknow,3.0,25,apple
1234,Alien Shooter,2003-09-14,,"Indie, Role-playing (RPG), Shooter",4.2,14,apple
1236,JYDGE,2017-10-01,,"Indie, Role-playing (RPG), Shooter, Simulator, Strategy",4.7,974,apple
1239,Lyrica,2017-01-01,,Music,3.2,6,apple
1246,Total War Battles: Kingdom,2015-04-09,Sega,"Real Time Strategy (RTS), Strategy",4.3,599,apple
1251,WWE Universe,2019-05-28,,Unknow,4.7,364,apple
1252,Love You To Bits,2016-02-25,,"Adventure, Indie, Point-and-click, Puzzle",4.8,2000,apple
1254,Leap Leap Leap,2013-09-19,,"Adventure, Simulator",4.8,5,apple
1255,Epsilon Tahari: Reign of the Machines,2016-06-15,,Simulator,4.5,30600,apple
1270,To the Moon,2011-11-01,,"Adventure, Indie, Role-playing (RPG)",4.7,389,apple
1279,7 years from now,2017-08-06,,Adventure,4.9,397,apple
1281,Silverfish DX,2018-06-07,,"Arcade, Indie",4.7,6,apple
1287,The Birdcage,2018-01-01,,Puzzle,4.7,36500,apple
1293,Aquapark.io,2019-02-26,,"Indie, Racing",4.6,1,apple
1295,Wheel of Wealth 3D,2018-12-15,,"Arcade, Indie, Puzzle",4.0,1,apple
1300,Torque Burnout,2015-09-30,,"Arcade, Racing",4.4,2400,apple
1309,Flower,2009-02-12,,"Adventure, Indie, Puzzle",4.1,208,apple
1313,Friday the 13th: Killer Puzzle,2018-01-19,,"Indie, Puzzle, Strategy",4.9,39600,apple
1326,Altered Beast,1988-08-01,Sega,"Hack and slash/Beat 'em up, Platform",4.3,488,apple
1334,black,2018-09-27,,"Indie, Puzzle",4.8,192,apple
1355,Oxenfree,2016-01-15,,"Adventure, Indie, Role-playing (RPG)",4.6,4300,apple
1369,Castle Breakout,2015-06-08,,Unknow,4.6,1100,apple
1376,Coaster Crazy Deluxe,2013-11-21,,Puzzle,4.1,120,apple
1384,Agent Wonky,2018-05-03,,Indie,5.0,11,apple
1393,Lonely One : Hole-in-one,2015-10-29,,Sport,4.6,49,apple
1411,GNOG,2017-05-02,,"Adventure, Indie, Puzzle",4.3,242,apple
1414,Under Leaves,2017-04-26,,"Indie, Puzzle",4.8,315,apple
1425,RGB Express,2014-09-12,,Arcade,4.6,432,apple
1429,100! Block Puzzle,2015-03-21,,Puzzle,4.7,8400,apple
1430,PolitiTruth,2017-01-01,,Quiz/Trivia,3.3,31,apple
1431,Snake Blast!,2019-02-08,,"Arcade, Indie",4.6,2400,apple
1437,Monument Valley,2014-04-03,,"Adventure, Puzzle",4.6,4000,apple
1443,Ice Rage,2011-12-14,,Sport,4.2,96,apple
1447,Battle Souls,2018-08-29,,"Indie, Role-playing (RPG), Strategy, Tactical",4.4,774,apple
1449,.projekt,2018-03-07,,"Indie, Puzzle",4.8,4000,apple
1456,Paul Pixel - The Awakening,2017-01-09,,"Adventure, Indie, Point-and-click",4.3,38,apple
1458,Tank Hero,2011-05-31,,"Arcade, Puzzle",4.6,614,apple
1461,Ocmo,2017-11-16,,Platform,4.4,220,apple
1463,CSR Racing 2,2015-12-07,,"Arcade, Racing",4.5,5700,apple
1464,Train Conductor,2009-12-18,,Simulator,4.4,173,apple
1466,Absolute Drift: Zen Edition,2016-08-16,,"Indie, Racing, Simulator, Sport",4.4,77,apple
1472,SpellForce: Heroes & Magic,2019-04-26,,"Tactical, Turn-based strategy (TBS)",4.2,17,apple
1490,Pan-Pan,2016-08-25,,"Adventure, Indie, Puzzle",3.8,18,apple
1491,Kickerinho,2014-07-17,,Sport,4.1,151,apple
1498,Calculator: The Game,2017-06-12,,Puzzle,4.7,1000,apple
1499,Run Gun Sports,2018-02-01,,Sport,4.3,661,apple
1500,Ares Virus,2018-12-18,,Role-playing (RPG),4.0,314,apple
1511,Hollywhoot,2018-08-16,,Unknow,4.9,29,apple
1521,LYNE,2014-01-01,,"Indie, Puzzle",4.9,61,apple
1526,yellow,2017-05-04,,"Indie, Puzzle",4.7,274,apple
1530,Bridge Constructor Portal,2017-12-20,,"Puzzle, Simulator, Strategy",4.8,3600,apple
1534,Invaders Inc. - Alien Plague,2016-01-27,,"Simulator, Strategy",3.5,76,apple
1535,Postknight,2017-02-09,,"Indie, Role-playing (RPG)",4.8,5500,apple
1538,Goat Simulator: Waste of Space,2016-05-26,,"Adventure, Simulator",4.6,1000,apple
1546,Star Wars: Knights of the Old Republic,2003-07-15,,"Adventure, Role-playing (RPG)",4.3,4300,apple
1558,Glory Ages - Samurais,2018-10-09,,Fighting,4.6,2100,apple
1570,Pocket Troops,2014-01-01,,"Fighting, Indie",4.8,4100,apple
1581,PBA Bowling Challenge,2013-01-16,,"Arcade, Sport",4.7,68300,apple
1596,Night Terrors: Bloody Mary,2018-10-21,,Simulator,4.0,5,apple
1603,Star Trek Fleet Command,2018-11-29,,"Role-playing (RPG), Strategy",4.4,44800,apple
1605,Max Payne Mobile,2012-04-12,,Arcade,4.4,472,apple
1620,Holedown,2018-07-25,,Arcade,4.2,333,apple
1622,Spongebob Moves In,2013-06-06,,"Adventure, Simulator",4.5,8200,apple
1629,Goosebumps Night of Scares,2016-03-16,,Adventure,4.4,55,apple
1641,Disney Emoji Blitz,2016-07-14,,"Arcade, Puzzle",4.7,143600,apple
1643,Sid Meier's Civilization VI,2016-10-21,,"Simulator, Strategy, Turn-based strategy (TBS)",3.4,3100,apple
1644,The Walking Dead: Season One,2012-04-24,,"Adventure, Point-and-click",4.2,2800,apple
1656,CATS: Crash Arena Turbo Stars,2017-04-19,,Arcade,4.8,256300,apple
1657,Otogi: Spirit Agents,2016-06-15,,Strategy,4.6,589,apple
1674,Real Racing 3,2013-02-28,ELECTRONIC ARTS,Racing,4.8,270500,apple
1688,Void Tyrant,2019-06-27,,Strategy,4.6,5800,apple
1696,My Singing Monsters,2012-09-03,,"Music, Simulator, Strategy",4.8,169800,apple
1701,War Robots,2014-04-15,,Arcade,4.7,329500,apple
1737,Battle for Polytopia,2016-02-04,,"Indie, Simulator, Strategy, Turn-based strategy (TBS)",4.7,7100,apple
1747,LEGO Batman 3: Beyond Gotham,2014-11-11,Warner Bros,"Adventure, Platform",3.3,1200,apple
1758,Sheltered,2016-03-15,,"Indie, Role-playing (RPG), Simulator, Strategy",4.2,269,apple
1764,CSR Racing,2012-06-28,,"Arcade, Racing",4.6,55700,apple
1766,Sonic The Hedgehog Classic,2013-05-15,Sega,Arcade,3.9,7900,apple
1770,Ice Lakes,2016-04-19,,"Indie, Simulator, Sport",4.7,335,apple
1788,Minigore,2009-07-30,,Shooter,4.6,785,apple
1801,Homo Machina,2018-05-17,,Unknow,4.3,726,apple
1803,Slash of Sword,2017-10-25,,Fighting,4.5,57,apple
1822,Cube Escape: Birthday,2016-02-01,,"Adventure, Puzzle",4.9,652,apple
1824,WordWhizzle Search,2016-06-08,,Puzzle,4.5,59500,apple
1836,Mushroom Wars 2,2016-10-13,,"Indie, Strategy",4.6,15500,apple
1837,Ninja Dude vs Zombies 2 — endless slay 'em all,2019-04-08,,"Arcade, Hack and slash/Beat 'em up, Indie",5.0,4,apple
1840,Hole.io,2018-05-25,,Arcade,4.6,1,apple
1842,Motorsport Manager Mobile 2,2017-07-13,,"Racing, Simulator, Sport",4.8,1600,apple
1865,Vignettes,2017-04-20,,"Adventure, Indie, Puzzle",4.8,906,apple
1873,Venture Kid,2016-01-13,,"Indie, Platform",4.7,500,apple
1883,Junk Jack,2013-08-29,,"Adventure, Indie, Platform, Simulator",4.5,313,apple
1885,Teenage Mutant Ninja Turtles: Portal Power,2016-01-06,,"Arcade, Hack and slash/Beat 'em up",4.3,100,apple
1890,Modern Combat 5: Blackout,2014-07-01,,Shooter,4.7,159700,apple
1895,Kenshō,2017-09-17,,"Adventure, Indie, Puzzle",4.7,2300,apple
1911,Jack N' Jill,2016-03-07,,Platform,4.7,43,apple
1913,Brew Town,2018-04-19,,Simulator,4.4,485,apple
1923,Pokémon Shuffle,2015-02-18,,Puzzle,4.7,8200,apple
1935,SpellKeeper,2018-04-03,,"Indie, Strategy",4.8,4,apple
1936,Goat Simulator PAYDAY,2016-01-14,,"Adventure, Simulator",4.5,1900,apple
1937,Goddess: Primal Chaos,2016-12-05,,Role-playing (RPG),4.1,1600,apple
1948,Arctic Cat Extreme Snowmobile Racing,2016-03-03,,"Racing, Sport",4.5,194,apple
1951,PUBG Mobile,2018-03-19,Tencent,"Shooter, Strategy",4.5,889600,apple
1959,AO Tennis,2018-01-04,,Sport,4.7,2900,apple
1975,The Battle Cats,2014-11-05,,Strategy,4.5,11500,apple
1976,Sonic Jump,2012-10-18,Sega,"Arcade, Platform",4.4,357,apple
1981,Sea Of Giants: Monument Island,2014-04-30,,"Adventure, Point-and-click",3.8,110,apple
1992,Portal Knights,2017-05-18,,"Adventure, Indie, Role-playing (RPG)",4.6,2800,apple
2008,LEGO Ninjago: Shadow of Ronin,2015-03-24,Warner Bros,"Adventure, Puzzle",3.1,2100,apple
2011,Flipflop Solitaire,2017-11-09,,Unknow,4.1,96,apple
2023,Minigore 2: Zombies,2012-12-06,,Shooter,4.5,165,apple
2026,Thimbleweed Park,2017-03-30,,"Adventure, Indie, Point-and-click, Puzzle",4.8,602,apple
2027,Mushroom 11,2015-10-15,,"Adventure, Indie, Platform, Puzzle",4.7,387,apple
2030,Implosion - Never Lose Hope,2015-04-08,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.6,740,apple
2036,Golf Battle,2018-11-02,,Sport,4.6,3300,apple
2040,Total War Battles: Shogun,2012-04-19,Sega,"Real Time Strategy (RTS), Strategy",4.4,57,apple
2050,Hungry Shark Evolution,2012-10-24,Ubisoft,Arcade,4.7,68600,apple
2058,Armed Heist,2018-08-16,,Shooter,4.7,4800,apple
2066,The Walking Dead: A New Frontier,2016-12-20,,"Adventure, Point-and-click",4.4,2300,apple
2070,BVS Solitaire Collection,2018-07-01,,"Indie, Puzzle",4.6,87,apple
2082,Jurassic World: The Game,2015-04-29,,"Adventure, Fighting, Simulator",4.8,152800,apple
2087,Raster Prime,2017-05-12,,Puzzle,4.5,21,apple
2092,Need for Speed: Most Wanted,2012-10-30,ELECTRONIC ARTS,Racing,3.8,1000,apple
2098,Hidden Folks,2017-02-15,,"Adventure, Indie, Point-and-click, Puzzle",4.9,8600,apple
2102,Epic Little War Game,2017-05-31,,"Indie, Strategy",4.2,93,apple
2105,Simon's Cat - Crunch Time,2017-06-27,,"Puzzle, Strategy",4.9,45400,apple
2108,No More Buttons,2017-11-02,,"Adventure, Puzzle",4.8,4,apple
2123,Stop Santa - Tower Defense,2017-12-04,,"Indie, Strategy",3.7,3,apple
2125,Cube Escape: Seasons,2015-04-01,,"Adventure, Puzzle",4.8,874,apple
2129,Hot Date,2015-12-16,,"Indie, Simulator",4.6,250,apple
2134,Love Letter,2018-10-24,,Strategy,3.1,31,apple
2142,Sky Gamblers: Cold War,2018-11-07,,"Arcade, Simulator",4.6,293,apple
2145,Severed,2016-04-26,,"Adventure, Hack and slash/Beat 'em up, Indie, Role-playing (RPG)",4.8,1000,apple
2164,SSC 2019,2019-05-30,,"Indie, Sport",4.1,57,apple
2171,Flip Trickster,2018-02-23,,Sport,4.5,58400,apple
2172,"That Dragon, Cancer",2016-01-12,,"Adventure, Indie",4.5,164,apple
2173,AdVenture Capitalist,2014-05-30,,"Indie, Simulator, Strategy",4.7,237400,apple
2175,Hexologic,2018-05-29,,"Indie, Puzzle, Strategy",4.7,922,apple
2180,A Way To Slay,2018-08-08,,Fighting,4.4,206,apple
2199,Asphalt: Xtreme,2016-10-27,,Racing,4.7,15100,apple
2206,Gumballs & Dungeons,2017-12-15,,"Adventure, Strategy",4.9,25,apple
2208,Star Wars: Jedi Challenges,2017-11-03,,Fighting,4.1,1400,apple
2222,Eternity Legends,2018-10-30,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.8,261,apple
2228,puzzlement,2018-02-28,,"Indie, Puzzle, Simulator",4.4,11,apple
2247,LONEWOLF,2016-01-06,,"Indie, Shooter",4.8,2200,apple
2248,Sid Meier's Civilization Revolution 2,2014-07-02,,"Simulator, Strategy, Turn-based strategy (TBS)",4.1,910,apple
2255,World of Tanks: Blitz,2014-06-28,,"Simulator, Strategy, Tactical",4.6,58500,apple
2257,PARTICLE MACE,2016-05-20,,"Adventure, Arcade, Indie, Strategy",4.4,30,apple
2270,Simple Rockets,2013-08-01,,"Indie, Simulator",4.5,505,apple
2271,R.B.I. Baseball 17,2017-03-28,,Sport,3.8,322,apple
2279,Skullgirls Mobile,2017-05-25,,Fighting,4.8,18000,apple
2284,Warplanes: WW2 Dogfight,2018-10-16,,"Indie, Shooter",4.0,7,apple
2289,Shut the Window,2018-04-05,,"Arcade, Indie",3.0,1,apple
2297,Crossgrams,2018-12-12,,"Indie, Puzzle",5.0,4,apple
2301,Euclidean Skies,2018-10-25,,"Adventure, Indie, Puzzle, Strategy",4.7,533,apple
2307,KIDS,2019-05-28,,"Adventure, Indie",3.3,205,apple
2312,Godzilla Defense Force,2019-05-22,Nexon,Simulator,4.8,20900,apple
2323,UNKILLED,2015-09-03,,"Adventure, Shooter",4.7,11700,apple
2326,A Boy and His Blob,2009-10-13,,"Adventure, Platform, Puzzle",4.8,4,apple
